"Notes"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Age Group"	"Age Group Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"1979"	"1979"	5653	274815	2057.0
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"1980"	"1980"	5645	280084	2015.5
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"1981"	"1981"	5306	278801	1903.1
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"1982"	"1982"	5157	279690	1843.8
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"1983"	"1983"	4983	277509	1795.6
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"1984"	"1984"	4920	279807	1758.4
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"1985"	"1985"	4936	286724	1721.5
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"1986"	"1986"	4899	291442	1681.0
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"1987"	"1987"	5070	301307	1682.7
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"1988"	"1988"	5337	314067	1699.3
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"1989"	"1989"	5685	331408	1715.4
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"1990"	"1990"	5479	337254	1624.6
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"1991"	"1991"	5280	336147	1570.7
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"1992"	"1992"	5050	330907	1526.1
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"1993"	"1993"	4766	324891	1467.0
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"1994"	"1994"	4430	313837	1411.6
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"1995"	"1995"	4116	297024	1385.7
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"1996"	"1996"	3893	293307	1327.3
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"1997"	"1997"	3786	295383	1281.7
	"Female"	"F"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"1998"	"1998"	3843	299795	1281.9
	"Female"	"F"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"1979"	"1979"	860	936000	91.9
	"Female"	"F"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"1980"	"1980"	802	950534	84.4
	"Female"	"F"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"1981"	"1981"	814	993390	81.9
	"Female"	"F"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"1982"	"1982"	797	1013841	78.6
	"Female"	"F"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"1983"	"1983"	765	1036597	73.8
	"Female"	"F"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"1984"	"1984"	760	1046926	72.6
	"Female"	"F"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"1985"	"1985"	743	1044776	71.1
	"Female"	"F"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"1986"	"1986"	809	1052662	76.9
	"Female"	"F"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"1987"	"1987"	786	1061442	74.1
	"Female"	"F"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"1988"	"1988"	768	1078660	71.2
	"Female"	"F"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"1989"	"1989"	809	1109504	72.9
	"Female"	"F"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"1990"	"1990"	769	1137412	67.6
	"Female"	"F"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"1991"	"1991"	847	1204325	70.3
	"Female"	"F"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"1992"	"1992"	834	1249382	66.8
	"Female"	"F"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"1993"	"1993"	886	1283075	69.1
	"Female"	"F"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"1994"	"1994"	864	1296190	66.7
	"Female"	"F"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"1995"	"1995"	769	1293510	59.5
	"Female"	"F"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"1996"	"1996"	754	1278912	59.0
	"Female"	"F"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"1997"	"1997"	587	1252513	46.9
	"Female"	"F"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"1998"	"1998"	602	1234180	48.8
	"Female"	"F"	"Black or African American"	"2054-5"	"5-9 years"	"5-9"	"1979"	"1979"	437	1256000	34.8
	"Female"	"F"	"Black or African American"	"2054-5"	"5-9 years"	"5-9"	"1980"	"1980"	417	1242096	33.6
	"Female"	"F"	"Black or African American"	"2054-5"	"5-9 years"	"5-9"	"1981"	"1981"	368	1206303	30.5
	"Female"	"F"	"Black or African American"	"2054-5"	"5-9 years"	"5-9"	"1982"	"1982"	399	1200587	33.2
	"Female"	"F"	"Black or African American"	"2054-5"	"5-9 years"	"5-9"	"1983"	"1983"	370	1204064	30.7
	"Female"	"F"	"Black or African American"	"2054-5"	"5-9 years"	"5-9"	"1984"	"1984"	372	1230279	30.2
	"Female"	"F"	"Black or African American"	"2054-5"	"5-9 years"	"5-9"	"1985"	"1985"	401	1260948	31.8
	"Female"	"F"	"Black or African American"	"2054-5"	"5-9 years"	"5-9"	"1986"	"1986"	401	1291549	31.0
	"Female"	"F"	"Black or African American"	"2054-5"	"5-9 years"	"5-9"	"1987"	"1987"	364	1313459	27.7
	"Female"	"F"	"Black or African American"	"2054-5"	"5-9 years"	"5-9"	"1988"	"1988"	405	1333672	30.4
	"Female"	"F"	"Black or African American"	"2054-5"	"5-9 years"	"5-9"	"1989"	"1989"	394	1336826	29.5
	"Female"	"F"	"Black or African American"	"2054-5"	"5-9 years"	"5-9"	"1990"	"1990"	364	1339798	27.2
	"Female"	"F"	"Black or African American"	"2054-5"	"5-9 years"	"5-9"	"1991"	"1991"	374	1376295	27.2
	"Female"	"F"	"Black or African American"	"2054-5"	"5-9 years"	"5-9"	"1992"	"1992"	365	1408735	25.9
	"Female"	"F"	"Black or African American"	"2054-5"	"5-9 years"	"5-9"	"1993"	"1993"	449	1454362	30.9
